book_id,avg_rating,rating_count,review_count,title,series,author,description,length,five_stars,four_stars,three_stars,two_stars,one_star,cover_image
915001,4.15,13694,197,Beaches,,Iris Rainer Dart,"Loudmouthed, redheaded Cee Cee Bloom has her sights set on Hollywood. Bertie White, quiet and conservative, dreams of getting married and having children. In 1951, their childhood worlds collide in Atlantic City. Keeping in touch as pen pals, they reunite over the years ... always near the ocean.Powerful and moving, this novel follows Cee Cee and Bertie's extraordinary fri
Loudmouthed, redheaded Cee Cee Bloom has her sights set on Hollywood. Bertie White, quiet and conservative, dreams of getting married and having children. In 1951, their childhood worlds collide in Atlantic City. Keeping in touch as pen pals, they reunite over the years ... always near the ocean.Powerful and moving, this novel follows Cee Cee and Bertie's extraordinary friendship over the course of thirty years as they transform from adolescents into adults. A bestselling novel that became a hugely successful film, Beaches is funny, heartbreaking, and a tale that should be a part of every woman's library.
...more",276 pages,6086,4410,2493,551,154,https://images.gr-assets.com/books/1387709464l/915001.jpg
7199539,3.5,30,3,All the Brothers Were Valiant,,Ben Ames Williams,"Ben Ames Williams (1889-1953) was an American writer who published over thirty novels. His writing traversed a wide range of genres and evinced considerable expertise in a number of divergent fields. He achieved his greatest popularity when three of his books, All the Brothers Were Valiant (1919), The Strange Woman (1945) and Leave Her to Heaven (1946) were adapted to film
Ben Ames Williams (1889-1953) was an American writer who published over thirty novels. His writing traversed a wide range of genres and evinced considerable expertise in a number of divergent fields. He achieved his greatest popularity when three of his books, All the Brothers Were Valiant (1919), The Strange Woman (1945) and Leave Her to Heaven (1946) were adapted to film. His other works include: Evered (1921), Black Pawl (1922), Thrifty Stock, and Other Stories (1923), Audacity (1924), The Silver Forest (1926), Immortal Longings (1927), Splendor (1927), The Dreadful Night (1928), Great Oaks (1930), Touchstone (1930), Honeyflow (1932), Money Musk (1932), The Strumpet Sea (1938), Come Spring (1940) and House Divided (1947).
...more",92 pages,6,8,12,3,1,https://images.gr-assets.com/books/1347685869l/7199539.jpg
1230853,3.65,2549,181,Madame Doubtfire,,Anne Fine,"Lydia, Christopher and Natalie are used to domestic turmoil. Their parents' divorce has not made family life any easier in either home. The children bounce to and from their volatile mother, Miranda, and their out-of-work actor father, Daniel. Then Miranda advertises for a cleaning lady who will look after and mind the children after work - and Daniel gets the job, disguis
Lydia, Christopher and Natalie are used to domestic turmoil. Their parents' divorce has not made family life any easier in either home. The children bounce to and from their volatile mother, Miranda, and their out-of-work actor father, Daniel. Then Miranda advertises for a cleaning lady who will look after and mind the children after work - and Daniel gets the job, disguised as Madame Doubtfire. This bittersweet, touching and extremely funny book inspired the highly successful film ""Mrs Doubtfire"", starring Robin Williams
...more",192 pages,627,809,788,249,76,https://images.gr-assets.com/books/1348018603l/1230853.jpg
225314,3.87,3624,473,The Pirates! In an Adventure with Scientists,(The Pirates! #1),Gideon Defoe,"Not since Moby-Dick... No, not since Treasure Island... Actually, not since Jonah and the Whale has there been a sea saga to rival The Pirates! In an Adventure with Scientists, featuring the greatest sea-faring hero of all time, the immortal Pirate Captain, who, although he lives for months at a time at sea, somehow manages to keep his beard silky and in good condition.Wor
Not since Moby-Dick... No, not since Treasure Island... Actually, not since Jonah and the Whale has there been a sea saga to rival The Pirates! In an Adventure with Scientists, featuring the greatest sea-faring hero of all time, the immortal Pirate Captain, who, although he lives for months at a time at sea, somehow manages to keep his beard silky and in good condition.Worried that his pirates are growing bored with a life of winking at pretty native ladies and trying to stick enough jellyfish together to make a bouncy castle, the Pirate Captain decides it's high time to spearhead an adventure. While searching for some major pirate booty, he mistakenly attacks the young Charles Darwin's Beagle and then leads his ragtag crew from the exotic Galapagos Islands to the fog-filled streets of Victorian London. There they encounter grisly murder, vanishing ladies, radioactive elephants, and the Holy Ghost himself. And that's not even the half of it.
...more",144 pages,1094,1354,862,232,82,https://images.gr-assets.com/books/1389197915l/225314.jpg
36107068,3.33,64,4,The Second Victory,,Morris L. West,"Winter 1945. The Second World War is over, but it is a time of armistice, not peace. Austria is grieving its defeat and the loss of a generation of men; it is a land without leaders. To men like Major Mark Hanlon, Occupation Commander of the alpine town of Bad Quellenberg, falls the task of destroying the legacy of the Nazis once and for all. When his driver is murdered by
Winter 1945. The Second World War is over, but it is a time of armistice, not peace. Austria is grieving its defeat and the loss of a generation of men; it is a land without leaders. To men like Major Mark Hanlon, Occupation Commander of the alpine town of Bad Quellenberg, falls the task of destroying the legacy of the Nazis once and for all. When his driver is murdered by an Austrian soldier, Hanlon is determined to bring the man to justice. But investigating the crime proves difficult in a community where nearly everyone has something to hide. Morris West's fast-moving story brilliantly evokes the atmosphere of occupation in a traumatized postwar Europe.
...more",224 pages,6,20,29,7,2,https://images.gr-assets.com/books/1503531347l/36107068.jpg
17214,4,167445,4790,Starship Troopers,,Robert A. Heinlein,"The historians can’t seem to settle whether to call this one ""The Third Space War"" (or the fourth), or whether ""The First Interstellar War"" fits it better. We just call it “The Bug War."" Everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" However, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a dec
The historians can’t seem to settle whether to call this one ""The Third Space War"" (or the fourth), or whether ""The First Interstellar War"" fits it better. We just call it “The Bug War."" Everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" However, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a declared war...In one of Robert A. Heinlein’s most controversial bestsellers, a recruit of the future goes through the toughest boot camp in the Universe—and into battle with the Terran Mobile Infantry against mankind’s most alarming enemy.
...more",335 pages,59706,61467,35609,8294,2369,https://images.gr-assets.com/books/1533117961l/17214.jpg
310918,3.57,21183,1540,The Cement Garden,,Ian McEwan,"In this tour de force of psychological unease, McEwan excavates the ruins of childhood and uncovers things that most adults have spent a lifetime forgetting—or denying.",138 pages,3948,7769,6571,2152,743,https://images.gr-assets.com/books/1436050036l/310918.jpg
3590,4.31,210960,5685,The Adventures of Sherlock Holmes,(Sherlock Holmes #3),Arthur Conan Doyle,A Scandal in Bohemia The Adventure of the Red-Headed League A Case of Identity The Bascombe Valley Mystery The Five Orange Pips The Man with the Twisted Lip The Adventure of the Blue Carbuncle The Adventure of the Speckled Band The Adventure of the Engineer's Thumb The Adventure of the Nobel Bachelor The Adventure of the Beryl Coronet The Adventure of the Copper Beeches,339 pages,102176,76738,27574,3405,1067,https://images.gr-assets.com/books/1164045516l/3590.jpg
89717,3.87,102256,9479,The Haunting of Hill House,,Shirley Jackson,"First published in 1959, Shirley Jackson's The Haunting of Hill House has been hailed as a perfect work of unnerving terror. It is the story of four seekers who arrive at a notoriously unfriendly pile called Hill House: Dr. Montague, an occult scholar looking for solid evidence of a ""haunting""; Theodora, the lighthearted assistant; Eleanor, a friendless, fragile young woma
First published in 1959, Shirley Jackson's The Haunting of Hill House has been hailed as a perfect work of unnerving terror. It is the story of four seekers who arrive at a notoriously unfriendly pile called Hill House: Dr. Montague, an occult scholar looking for solid evidence of a ""haunting""; Theodora, the lighthearted assistant; Eleanor, a friendless, fragile young woman well acquainted with poltergeists; and Luke, the future heir of Hill House. At first, their stay seems destined to be merely a spooky encounter with inexplicable phenomena. But Hill House is gathering its powers—and soon it will choose one of them to make its own.
...more",182 pages,31116,37215,24999,7039,1887,https://images.gr-assets.com/books/1327871336l/89717.jpg
769000,3.36,4047,462,The Light in the Forest,(The Light in the Forest #1),Conrad Richter,"When John Cameron Butler was a child, he was captured in a raid on the Pennsylvania frontier and adopted by the great warrrior Cuyloga. Renamed True Son, he came to think of himself as fully Indian. But eleven years later his tribe, the Lenni Lenape, has signed a treaty with the white men and agreed to return their captives, including fifteen-year-old True Son. Now he must
When John Cameron Butler was a child, he was captured in a raid on the Pennsylvania frontier and adopted by the great warrrior Cuyloga. Renamed True Son, he came to think of himself as fully Indian. But eleven years later his tribe, the Lenni Lenape, has signed a treaty with the white men and agreed to return their captives, including fifteen-year-old True Son. Now he must go back to the family he has forgotten, whose language is no longer his, and whose ways of dress and behavior are as strange to him as the ways of the forest are to them. A beautifully written, sensitively told story of a white boy brought up by Indians, The Light in the Forest is a beloved American classic.
...more",192 pages,694,1184,1329,564,276,https://images.gr-assets.com/books/1348758695l/769000.jpg
3167863,3.44,385,68,A Watcher in the Woods,,Florence Engel Randall,"When their family moves into a house at the edge of a forest, two sisters sense an invisible presence as strange occurrences take place.",229 pages,56,126,143,53,7,https://images.gr-assets.com/books/1399728018l/3167863.jpg
1739740,3.29,1726,180,Die Angst des Tormanns beim Elfmeter,,Peter Handke,"Von einem Tag auf den nächsten ist nichts mehr so, wie es war. Der Monteur Josef Bloch, früher einmal ein bekannter Torwart, wird wortlos entlassen - jedenfalls ist er eines Morgens fest davon überzeugt. Er verlässt seine Arbeitsstelle und spaziert ziellos durch Wien. Alles stört ihn: Die Geräusche der Stadt sind zu laut, deren Grellheit irritiert ihn. Er flüchtet sich in
Von einem Tag auf den nächsten ist nichts mehr so, wie es war. Der Monteur Josef Bloch, früher einmal ein bekannter Torwart, wird wortlos entlassen - jedenfalls ist er eines Morgens fest davon überzeugt. Er verlässt seine Arbeitsstelle und spaziert ziellos durch Wien. Alles stört ihn: Die Geräusche der Stadt sind zu laut, deren Grellheit irritiert ihn. Er flüchtet sich in ein dunkles Kino. Mitten im Film hört her eine Glöcke läuten, doch er weiss nicht mehr, ob das Geräusch zum Film gehört oder ob es vom nahegelegenen Naschmarkt ins Kino hereindringt. Es ist, als sei die Welt mit einem Mal aus den Fugen geraten. Doch das ist noch nicht alles: Schon bald geschieht ein Mord...
...more",106 pages,242,522,576,265,121,https://images.gr-assets.com/books/1359882479l/1739740.jpg
284182,3.42,292,26,American Knees,,Shawn Wong,"Read about the movie, Americanese, based on Shawn Wong's book, at: http: //www.americanesethemovie.com",240 pages,49,89,103,37,14,https://images.gr-assets.com/books/1348274711l/284182.jpg
33507,3.88,169708,5576,Twenty Thousand Leagues Under the Sea,(Captain Nemo #1),Jules Verne,"French naturalist Dr. Aronnax embarks on an expedition to hunt down a sea monster, only to discover instead the Nautilus, a remarkable submarine built by the enigmatic Captain Nemo. Together Nemo and Aronnax explore the underwater marvels, undergo a transcendent experience amongst the ruins of Atlantis, and plant a black flag at the South Pole. But Nemo's mission is one of
French naturalist Dr. Aronnax embarks on an expedition to hunt down a sea monster, only to discover instead the Nautilus, a remarkable submarine built by the enigmatic Captain Nemo. Together Nemo and Aronnax explore the underwater marvels, undergo a transcendent experience amongst the ruins of Atlantis, and plant a black flag at the South Pole. But Nemo's mission is one of revenge-and his methods coldly efficient.
...more",394 pages,50436,62987,43659,10015,2611,https://images.gr-assets.com/books/1494979127l/33507.jpg
