id_repeat,id,BookTitle,BookAltTitle,BookYear,BookLink,Author,FilmTitle,FilmLink,FilmYear,id_goodreads,isbn_goodreads,isbn13_goodreads,title_from_goodreads_match,author_from_goodreads_match,x,y,OK?,b
0,0,The A.B.C. Murders,,1936,/wiki/The_A.B.C._Murders,Agatha Christie,The Alphabet Murders,/wiki/The_Alphabet_Murders,1966,16322,1579126243,9.78E+12,,,FALSE,FALSE,OK isbn match,
1,1,The A.B.C. Murders,,1936,/wiki/The_A.B.C._Murders,Agatha Christie,The A.B.C. Murders,/wiki/List_of_Agatha_Christie%27s_Poirot_episodes#Series_Four_(1992),1992,16322,1579126243,9.78E+12,,,FALSE,FALSE,OK isbn match,
3,3,De Aanslag,The Assault,1982,/wiki/De_Aanslag,Harry Mulisch,The Assault,/wiki/The_Assault_(film),1986,1964904,394542452,9.78E+12,,,FALSE,FALSE,OK isbn match,
4,4,About a Boy,,1998,/wiki/About_a_Boy_(novel),Nick Hornby,About a Boy,/wiki/About_a_Boy_(film),2002,2770004,575061596,9.78E+12,,,FALSE,FALSE,OK isbn match, 
6,6,Absolute Power,,1996,/wiki/Absolute_Power_(novel),David Baldacci,Absolute Power,/wiki/Absolute_Power_(film),1997,760769,446603589,9.78E+12,,,FALSE,FALSE,OK isbn match,
10,10,Adams Fall,,2000,/wiki/Adams_Fall,,Abandon,/wiki/Abandon_(2002_film),2002,1171639,031226254X,9.78E+12,,,FALSE,match,OK isbn match,
79,79,Advise and Consent,,1959,/wiki/Advise_and_Consent,Allen Drury,Advise & Consent,/wiki/Advise_%26_Consent_(film),1962,1933777,038505419X,9.78E+12,,,FALSE,FALSE,OK isbn match,
89,89,The Agony and the Ecstasy,,1961,/wiki/The_Agony_and_the_Ecstasy_(novel),Irving Stone,The Agony and the Ecstasy,/wiki/The_Agony_and_the_Ecstasy_(film),1965,40473,451213238,9.78E+12,,,FALSE,FALSE,OK isbn match,
96,96,Airborn,,2004,/wiki/Airborn_(Oppel_novel),Kenneth Oppel,Airborn,/wiki/Airborn_(Oppel_novel),2012,1597492,2005379,9.78E+12,,,FALSE,FALSE,OK isbn match,
110,110,All the Pretty Horses,,1992,/wiki/All_the_Pretty_Horses_(novel),Cormac McCarthy,All the Pretty Horses,/wiki/All_the_Pretty_Horses_(film),2000,635719,394574745,9.78E+12,,,FALSE,FALSE,OK isbn match,
116,116,Along Came a Spider,,1993,/wiki/Along_Came_a_Spider_(novel),James Patterson,Along Came a Spider,/wiki/Along_Came_a_Spider_(film),2001,1312928,316693642,9.78E+12,,,FALSE,FALSE,OK isbn match,
119,119,"Always Outnumbered, Always Outgunned",,1987,"/wiki/Always_Outnumbered,_Always_Outgunned",Walter Mosley,Always Outnumbered,/wiki/Always_Outnumbered,1998,1141705,393045390,9.78E+12,,,FALSE,FALSE,OK isbn match,
123,123,American Knees,,1995,/wiki/American_Knees,Shawn Wong,Americanese,/wiki/Americanese,2006,284182,295984961,9.78E+12,,,FALSE,FALSE,OK isbn match,
124,124,American Psycho,,1991,/wiki/American_Psycho,Bret Easton Ellis,American Psycho,/wiki/American_Psycho_(film),2000,28676,679735771,9.78E+12,,,FALSE,FALSE,OK isbn match,
125,125,American Psycho,,1991,/wiki/American_Psycho,Bret Easton Ellis,American Psycho 2: All-American Girl,/wiki/American_Psycho_2,2002,28676,679735771,9.78E+12,,,FALSE,FALSE,OK isbn match,
129,129,Amerika,,1927,/wiki/Amerika_(novel),Franz Kafka,KlassenverhÃ¤ltnisse,/wiki/Klassenverh%C3%A4ltnisse,,59766,811215695,9.78E+12,,,FALSE,FALSE,OK isbn match,
130,130,Amerika,,1927,/wiki/Amerika_(novel),Franz Kafka,Class Relations,,1984,59766,811215695,9.78E+12,,,FALSE,FALSE,OK isbn match,
131,131,Amerika,,1927,/wiki/Amerika_(novel),Franz Kafka,Intervista,/wiki/Intervista,1987,59766,811215695,9.78E+12,,,FALSE,FALSE,OK isbn match,
132,132,Amerika,,1927,/wiki/Amerika_(novel),Franz Kafka,Amerika,/wiki/Amerika_(novel)#Amerika,1994,59766,811215695,9.78E+12,,,FALSE,FALSE,OK isbn match,
151,151,The Anderson Tapes,,1969,/wiki/The_Anderson_Tapes_(novel),Lawrence Sanders,The Anderson Tapes,/wiki/The_Anderson_Tapes,1971,5318963,891908544,9.78E+12,,,FALSE,FALSE,OK isbn match,
152,152,Andromeda: A Space-Age Tale,,1957,/wiki/Andromeda_(novel),Ivan Yefremov,The Andromeda Nebula,/wiki/The_Andromeda_Nebula,1967,6046868,828518564,9.78E+12,,,FALSE,FALSE,OK isbn match,
153,153,The Andromeda Strain,,1969,/wiki/The_Andromeda_Strain,Michael Crichton,The Andromeda Strain,/wiki/The_Andromeda_Strain_(film),1971,1331973,394415256,9.78E+12,,,FALSE,FALSE,OK isbn match,
154,154,The Andromeda Strain,,1969,/wiki/The_Andromeda_Strain,Michael Crichton,The Andromeda Strain,/wiki/The_Andromeda_Strain_(TV_miniseries),2008,1331973,394415256,9.78E+12,,,FALSE,FALSE,OK isbn match,
155,155,Angel,,1957,/wiki/Angel_(novel),Elizabeth Taylor,Angel,/wiki/Angel_(2007_film),2007,647121,1844083071,9.78E+12,,,FALSE,FALSE,OK isbn match,
163,163,Angels & Demons,,2000,/wiki/Angels_%26_Demons,Dan Brown,Angels & Demons,/wiki/Angels_%26_Demons_(film),2009,970386,671027352,9.78E+12,,,FALSE,FALSE,OK isbn match,
174,174,Anna Karenina,,1873,/wiki/Anna_Karenina,Leo Tolstoy,Anna Karenina,/wiki/Anna_Karenina_(1914_film),1914,3148286,184749059X,9.78E+12,,,FALSE,FALSE,OK isbn match,
175,175,Anna Karenina,,1873,/wiki/Anna_Karenina,Leo Tolstoy,Anna Karenina,/wiki/Anna_Karenina_(1915_film),1915,3148286,184749059X,9.78E+12,,,FALSE,FALSE,OK isbn match,
176,176,Anna Karenina,,1873,/wiki/Anna_Karenina,Leo Tolstoy,Love,/wiki/Love_(1927_American_film),1927,3148286,184749059X,9.78E+12,,,FALSE,FALSE,OK isbn match,
177,177,Anna Karenina,,1873,/wiki/Anna_Karenina,Leo Tolstoy,Anna Karenina,/wiki/Anna_Karenina_(1935_film),1935,3148286,184749059X,9.78E+12,,,FALSE,FALSE,OK isbn match,
178,178,Anna Karenina,,1873,/wiki/Anna_Karenina,Leo Tolstoy,Anna Karenina,/wiki/Anna_Karenina_(1948_film),1948,3148286,184749059X,9.78E+12,,,FALSE,FALSE,OK isbn match,
179,179,Anna Karenina,,1873,/wiki/Anna_Karenina,Leo Tolstoy,Nahr al-Hob,/wiki/Nahr_al-Hob,,3148286,184749059X,9.78E+12,,,FALSE,FALSE,OK isbn match,
180,180,Anna Karenina,,1873,/wiki/Anna_Karenina,Leo Tolstoy,River of Love,,1960,3148286,184749059X,9.78E+12,,,FALSE,FALSE,OK isbn match,
181,181,Anna Karenina,,1873,/wiki/Anna_Karenina,Leo Tolstoy,Anna Karenina,/wiki/Anna_Karenina_(1967_film),1967,3148286,184749059X,9.78E+12,,,FALSE,FALSE,OK isbn match,
