imdbid,reviewid,review
tt0090576,0,
tt0090576,1,"Movie based on the famous novel by Harry Mulisch, who also wrote the Discovery of Heaven. In the center is Anton Steenwijk (Derek de Lint), who sees his parents shot and his house burnt after a shooting that killed a collaborator of the German Nazi's in World War II. All his life, Anton is curious about what really happened that night, but when he finds out, will that truly satisfy him?

Interesting story, well played and directed by Rademakers (director of 'Als twee druppels water' and 'Max Havelaar'), which won the 'Best foreign language' Oscar back in 1987. And although some viewers won't like the 'coincidental' ending, it's probably one of the best pictures ever to have come from this country... 7/10."
tt0090576,2,"This film is based on the Harry Mulisch novel, and both have some distinguishing characteristics that go back - on purpose - to classic Greek tragedy theatre. The incredible co-incidence that carries the story is reminiscent of ancient literary 'vehicles' that carry a story. Thus, you should not look at the chance events as being part of the story, but as being the foundation for the story - they, in themselves, should not really be questioned.

Also, note that every chance meeting is preceded by a meeting with some kind of stone. The Dutch word for dice is 'dobbelsteen', or dicing-stone, so that the simile of dice and chance can be extended to stones and chance. This explains the significance of Anton meeting his first wife while visiting the Stone of Scones.

The book, more strongly than the film, is also constructed as a Greek tragedy, with a prologue, five acts and then an epilogue.

Anton Steenwijk is also interesting himself: he represses the events of the assault, but it keeps coming back at him. But he is an anaesthetist in more than one way - he puts his memories to sleep. Even in the final stages, when the story is already quite clear to him, he uses drugs at his house in Tuscany and seeks to ease a toothache in Amsterdam before going to the Ban the Bomb demonstration.

Personally, I think the book was translated into a film in brilliant fashion. My major qualm with it is the mediocrity of the sound and sound effects. Some pretty good acting and a fantastic storyline make this one well worth the watch."
tt0090576,3,I have seen this movies so many times that the subtitling has become irrelevant. Smarty movie with worldwide appeal. A growing up MD is subconciously living a life that has been dramatically changed by an incident during the WWII. such powerful characters. I walk out the movuie stunned at the way the movie works for me. go and see it for yourself
tt0090576,4,
tt0090576,5,"What is really fascinating in this Dutch movie is the way the past takes shape again,little by little,on a very long period:the hero is a middle-age man when he finally learns the final truth .What is less convincing in the implausibility of these situations and the main flaw of the work :each time a new character appears,outside of course of the two wives,his only purpose is to provide the hero with new facts about the tragedy he went through when he was 12.

And however the story is absorbing:the first scenes ,during the fateful night are harrowing,first in the parents 'house or in the icy landscape that surrounds it or in the dungeon where the young boy meets the female Resistance fighter.

Then begins the child's adult life and while there are very strong scenes ,there are also some flaws: too much voice-over (""He spends his Easter holiday in London"" ""He gets married"" are completely pointless:the picture is enough),and it's really difficult to follow the hero's psychological change (why for instance does he get divorce?) But its questionings (who are the heroes ? who are the traitors?) sometimes recalls Jorge Luis Borges.One of the best scenes shows Anton talking with the collaborator's son:who is the victim NOW? did this young man and his mother deserve what happened to them?""They 're living"" replies Anton.

And is Anton's attitude -stay away from the events that shakes the world- so worthwhile?That's why the last scene is very revealing:finally he understood that responsibility is everywhere and should be shared by everyone.

In spite of its flaws,it's certainly one of the most interesting European movies of the eighties."
tt0090576,6,"""The Assault"", more than any other movie, shows that the Netherlands may have Europe's best output in terms of movies. In January, 1945, the Nazis are still occupying the Netherlands. One night, a Nazi guard is shot while on patrol. Immediately, the people in the house next to which he falls move him in front of the next house, where protagonist Anton Steenwijk lives. The Nazis kill Anton's parents and brother, and take Anton prisoner. In jail, he meets a woman, but can only see her mouth. She comforts him for a few minutes before they take her away.

After the war ends, Anton spends the rest of his life trying to come to terms with what happened that night, and every woman with whom he hooks up has the same sort of mouth as the woman in the jail cell. Then, at the end of the movie, while at an anti-nuclear march in Paris, he learns the full story of what happened that night.

""The Assault"" is a movie that will truly blow you away. It will shake you, but it's also about hope. You have to see it to understand how great it is. I recommend it to everyone."
tt0090576,7,"The Dutch are not great at making movies but when they make a WW II movie it often is a little masterpiece. ""De Aanslag"" is a movie like this.

""De Aanslag"" isn't necessarily about WW II but more about the effects of it on a persons life and why things happen the way they do and how little things can effect a persons life for ever. Most of the movie's story is set in the years after WW II and uses flashbacks of things that happened in WW II to make more things clear and to show things from a different perspective from different individuals that were involved in the incident were the movie is about. It becomes more and more clear what happened at the night that collaborator Ploeg was killed but the Dutch resistance and more importantly why things happened the way it happened. The story also shows a detailed view of the Netherlands and their citizens the years and decades after WW II and how it still affected many.

There are many great returning characters in the story and the acting is for especially Dutch standards pretty high. Derek de Lint who now is better know world wide for his role as Derek Rayne in ""Poltergeist: The Legacy"" is a great leading man that really carries the movie.

The cinematography from Theo van de Sande who later did the cinematography for the movie hit ""Blade"" is great and sets a nice mood. The directing by Fons Rademakers is done wonderfully and it never makes the movie hard to follow even though at times it gets a bit complicated.

Great Dutch Oscar winning drama with some memorable moments and a fantastic ending were everything comes together and gets clear.

8/10

http://bobafett1138.blogspot.com/"
tt0090576,8,"My family is from Haarlem and I feel very close to the places, scenes, characters and the atmosphere that the movie generates. The fact that there are only a view productions regarding the Dutch resistance is very sad to me as the Dutch resistance was on of the best organized during the German occupation. However the man that was shot dead outside Anton Steenwijk's house was an NSB participant. He belonged to the Dutch Nazi Party. As previously stated, by some people in this thread, he was not a German Nazi but a Dutch collaborator. A lot of my family were in the resistance during the Nazi occupation. Some of them were shut by the Germans, in the dunes near Bloemendaal a/Zee, the site of the ""Ere Begraaf Plaats"" where Anton takes his daughter to find Truus Koster's grave, in the latter end of the movie. When I was young we often spend time there, to visit friends and family that were executed during those troublesome years. I dearly love this movie and would recommend it to anyone."
tt0090576,9,"I found this movie to be very thought-provoking, particularly its insights into the experiences of the residents of Holland during the Nazi occupation.

One drawback in this movie was the totally incongruous chance meetings that Anton has with key individuals. e.g.: Ploeg's son just happens to be shoved into Anton's doorway during an anti-communist riot, Anton, while in a crowded cafe, just happens to be sitting right next to the man who shot Ploeg, and finally, in an anti-nuclear demonstration in which hundreds of people are marching, he just happens to be walking abreast of his long-ago next door neighbor!"
tt0090576,10,"In January 1945, during the second world war, the Dutch resistance kills a collaborator in the street where the 12 year old Anton Steenwijk lives. The man was shot in front of his neighbors house, but is moved by them to the house of the family Steenwijk. Because of this, his father, mother and brother are killed by the Germans, and their house is set to fire. During his life, Anton meets several people that tell him more about what really happened on the night of the assault.

What really makes this a great film is how it covers so much of the 20th century, at least the major war events. Vietnam, Stalin, Hungary and more... this is not just a story about the Netherlands in World War II, but really a larger tale of Europe. The balance between the personal and the international is what makes it such a notable film."
