,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdb_id
0,The A.B.C. Murders,1936,Agatha Christie,The Alphabet Murders,1966,The Alphabet Murders 1966,0
1,The A.B.C. Murders,1936,Agatha Christie,The A.B.C. Murders,1992,The A.B.C. Murders 1992,0
2,À ton image,1998,Louise L. Lambrichs,À ton image,2004,À ton image 2004,0
3,De Aanslag,1982,Harry Mulisch,The Assault,1986,The Assault 1986,2753
4,About a Boy,1998,Nick Hornby,About a Boy,2002,About a Boy 2002,245
5,About Schmidt,1996,Louis Begley,About Schmidt,2002,About Schmidt 2002,2755
6,Absolute Power,1996,David Baldacci,Absolute Power,1997,Absolute Power 1997,66
7,The Accidental Tourist,1985,Anne Tyler,The Accidental Tourist,1988,The Accidental Tourist 1988,31052
8,Across 110th,1970,0,Across 110th Street,1972,Across 110th Street 1972,23847
9,Adam Resurrected,1971,Yoram Kaniuk,Adam Resurrected,2009,Adam Resurrected 2009,0
10,Adams Fall,2000,0,Abandon,2002,Abandon 2002,15992
11,Addie Pray,1971,Joe David Brown,Paper Moon,1973,Paper Moon 1973,11293
12,Adiliya by the River,1999,0,Green Tea,2003,Green Tea 2003,40974
13,Adolphe,1816,Benjamin Constant,Adolphe,2002,Adolphe 2002,18456
14,Adventure,1911,Jack London,Adventure,1925,Adventure 1925,0
15,The Adventurers,1966,Harold Robbins,The Adventurers,1970,The Adventurers 1970,106326
16,The Adventures of Captain Alatriste,1996,Arturo Pérez-Reverte,Alatriste,2006,Alatriste 2006,13495
17,The Adventures of Hajji Baba of Ispahan,1824,James Justinian Morier,The Adventures of Hajji Baba,1954,The Adventures of Hajji Baba 1954,108668
18,Adventures of Huckleberry Finn,1884,Mark Twain,Huck and Tom,1918,Huck and Tom 1918,0
19,The Adventures of Tom Sawyer,1876,Mark Twain,Huck and Tom,1918,Huck and Tom 1918,0
20,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1920,Huckleberry Finn 1920,243632
21,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1931,Huckleberry Finn 1931,297722
22,The Adventures of Tom Sawyer,1876,Mark Twain,Huckleberry Finn,1931,Huckleberry Finn 1931,297722
23,Adventures of Huckleberry Finn,1884,Mark Twain,Huck Finn,1937,Huck Finn 1937,0
24,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1939,The Adventures of Huckleberry Finn 1939,59403
25,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1955,The Adventures of Huckleberry Finn 1955,131316
26,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1960,The Adventures of Huckleberry Finn 1960,43041
27,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1974,Huckleberry Finn 1974,75141
28,The Adventures of Tom Sawyer,1876,Mark Twain,Huckleberry Finn,1974,Huckleberry Finn 1974,75141
29,Adventures of Huckleberry Finn,1884,Mark Twain,Hopelessly Lost,1972,Hopelessly Lost 1972,0
30,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1975,Huckleberry Finn 1975,150414
31,The Adventures of Tom Sawyer,1876,Mark Twain,Huckleberry Finn,1975,Huckleberry Finn 1975,150414
32,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1981,The Adventures of Huckleberry Finn 1981,127732
33,Adventures of Huckleberry Finn,1884,Mark Twain,Adventures of Huckleberry Finn,1985,Adventures of Huckleberry Finn 1985,0
34,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Mark Twain,1985,The Adventures of Mark Twain 1985,19947
35,The Adventures of Tom Sawyer,1876,Mark Twain,The Adventures of Mark Twain,1985,The Adventures of Mark Twain 1985,19947
36,Adventures of Huckleberry Finn,1884,Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn 1990,102936
37,The Adventures of Tom Sawyer,1876,Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn 1990,102936
38,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huck Finn,1993,The Adventures of Huck Finn 1993,34723
39,Adventures of Huckleberry Finn,1884,Mark Twain,Tom and Huck,1995,Tom and Huck 1995,45325
40,The Adventures of Tom Sawyer,1876,Mark Twain,Tom and Huck,1995,Tom and Huck 1995,45325
41,Adventures of Huckleberry Finn,1884,Mark Twain,Tomato Sawyer and Huckleberry Larry's Big River Rescue,2008,Tomato Sawyer and Huckleberry Larry's Big River Rescue 2008,0
42,The Adventures of Pinocchio,1883,Carlo Collodi,The Adventures of Pinocchio,1936,The Adventures of Pinocchio 1936,0
43,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1940,Pinocchio 1940,10895
44,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1957,Pinocchio 1957,489452
45,The Adventures of Pinocchio,1883,Carlo Collodi,The Adventures of Buratino,1959,The Adventures of Buratino 1959,72211
46,"The Golden Key, or the Adventures of Buratino",1936,Aleksey Nikolayevich Tolstoy,The Adventures of Buratino,1959,The Adventures of Buratino 1959,72211
47,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio in Outer Space,1965,Pinocchio in Outer Space 1965,213104
48,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1968,Pinocchio 1968,489453
49,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1972,Pinocchio 1972,250593
50,The Adventures of Pinocchio,1883,Carlo Collodi,The Adventures of Buratino,1975,The Adventures of Buratino 1975,20899
51,"The Golden Key, or the Adventures of Buratino",1936,Aleksey Nikolayevich Tolstoy,The Adventures of Buratino,1975,The Adventures of Buratino 1975,20899
52,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1976,Pinocchio 1976,131098
