,tmdbid,imdbid,budget,revenue,runtime,poster_path
0,2753,tt0090576,0,203781,124.0,/roLUdrbcpFiWjIqs2NbpItR74KE.jpg
1,245,tt0276751,27000000,129000000,101.0,/1kz4Q2v7cxwNnTfkjrujzWAVCne.jpg
2,2755,tt0257360,30000000,105834556,125.0,/riJV5Bq0IXItG3ceywNWkw7il7K.jpg
3,66,tt0118548,50000000,50068310,121.0,/oJQdp09Oc51DkArsMDvgDLdWiDu.jpg
4,31052,tt0094606,0,0,121.0,/dyk2BqPajLRBpVQ6jsSJJdgfuXe.jpg
5,23847,tt0068168,0,0,102.0,/rBbjSAA6sfCod4n4KlaiSCV1jiA.jpg
6,15992,tt0267248,25000000,10719357,99.0,/boUVtx1o57qsy9rkdXxI4ExHLnP.jpg
7,11293,tt0070510,0,0,102.0,/xq7F3iUFJY1L4UFIHoO2Y3fmnE6.jpg
8,40974,tt0382821,0,0,83.0,/dw9RHe377AxzRNPA5LfHmkLTRDy.jpg
9,18456,tt0307923,0,0,102.0,/dfcRL36GvuoeqWn1bq6tgSLiXgA.jpg
10,106326,tt0065374,0,0,171.0,/1WQPcTeZs1BiLT34w2bjURckyms.jpg
11,13495,tt0395119,24000000,23321954,145.0,/4DHgHu8TlOGRMriLAKiQrYf6GF6.jpg
12,108668,tt0046683,0,0,94.0,/pSEYTPhDHWwE7jDKptSJTku5kTr.jpg
13,243632,tt0011313,0,0,70.0,/fbsThgTWny7zCZp8iXmyljyHx5b.jpg
14,297722,tt0021981,0,0,80.0,/r9Q3RYZ6TYCnOI99Hx19dc4Jm8P.jpg
15,59403,tt0031020,0,0,91.0,/1FIAUMHoXzVo8pCJBPjbWWdBQ6z.jpg
16,131316,tt0046684,0,0,60.0,/zVQY2Q8n51kSgk3RnurtwPFbD3G.jpg
17,43041,tt0053571,0,0,107.0,/l2bmntngk2bQyrWT7Z9CxMNE8fO.jpg
18,75141,tt0071634,0,0,118.0,/8FMdSBWJcpdicnQrNBEiWpfL92p.jpg
19,150414,tt0073130,0,0,77.0,/wiCKmZk52OnGZuNseOl8dBEL1ru.jpg
20,127732,tt0081982,0,0,100.0,/2dftBQRhrH5Lskcam33tL5doAKG.jpg
21,19947,tt0088678,0,849915,86.0,/k8fX9Sap8dlpZik21BQjlct8OSl.jpg
22,102936,tt0099087,0,0,88.0,/qbEq9k24od1FMNXF0O1xDkGa9zI.jpg
23,34723,tt0106223,6500000,0,108.0,/8VpQZ43hdaTUmkMoe2CnED1Y2fS.jpg
24,45325,tt0112302,0,0,97.0,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg
25,10895,tt0032910,2600000,84300000,88.0,/hu9sn5kHTXZsafNQYQf4qQ16BGI.jpg
26,489452,tt0050846,0,0,60.0,/2O5w6Ea9u1spYilCLfKYz94fKAf.jpg
