,tmdbid,imdbid,tconst,averageRating,numVotes
0,2753,tt0090576,tt0090576,7.3,2823
1,245,tt0276751,tt0276751,7.1,158912
2,2755,tt0257360,tt0257360,7.2,116379
3,66,tt0118548,tt0118548,6.7,45519
4,31052,tt0094606,tt0094606,6.8,13738
5,23847,tt0068168,tt0068168,7.0,4239
6,15992,tt0267248,tt0267248,4.9,8703
7,11293,tt0070510,tt0070510,8.1,37334
8,40974,tt0382821,tt0382821,6.8,677
9,18456,tt0307923,tt0307923,6.1,329
10,106326,tt0065374,tt0065374,5.4,579
11,13495,tt0395119,tt0395119,6.1,11456
12,108668,tt0046683,tt0046683,6.1,394
13,243632,tt0011313,tt0011313,6.5,68
14,297722,tt0021981,tt0021981,6.3,61
15,59403,tt0031020,tt0031020,6.9,991
16,131316,tt0046684,tt0046684,5.2,45
17,43041,tt0053571,tt0053571,6.3,1200
18,75141,tt0071634,tt0071634,5.5,486
19,150414,tt0073130,tt0073130,5.4,142
20,127732,tt0081982,tt0081982,6.0,47
21,19947,tt0088678,tt0088678,7.5,2262
22,102936,tt0099087,tt0099087,6.5,119
23,34723,tt0106223,tt0106223,6.2,7133
24,45325,tt0112302,tt0112302,5.6,8859
25,10895,tt0032910,tt0032910,7.5,113314
26,489452,tt0050846,tt0050846,7.5,10
27,72211,tt0152066,tt0152066,7.4,547
28,213104,tt0186449,tt0186449,6.2,197
29,489453,tt0210907,tt0210907,7.6,15
30,250593,tt0287351,tt0287351,7.1,118
31,20899,tt0073570,tt0073570,7.7,1396
32,131098,tt0207653,tt0207653,6.1,158
33,39045,tt0093743,tt0093743,6.8,460
34,50162,tt0225009,tt0225009,5.5,1373
35,134434,tt0818692,tt0818692,6.1,107
36,30926,tt0117342,tt0117342,4.1,1827
37,18975,tt0115472,tt0115472,5.3,4719
38,30809,tt0200656,tt0200656,5.6,634
39,644,tt0212720,tt0212720,7.1,271339
40,30491,tt0311618,tt0311618,6.6,407
41,10599,tt0255477,tt0255477,4.3,7162
42,23056,tt0332318,tt0332318,4.0,1026
43,33821,tt1130992,tt1130992,5.8,344
44,17481,tt0031022,tt0031022,7.5,5604
45,74609,tt0008687,tt0008687,6.3,123
46,166307,tt0021483,tt0021483,6.4,139
47,30977,tt0029844,tt0029844,7.3,1516
48,120747,tt0036582,tt0036582,7.2,896
49,42473,tt0070814,tt0070814,6.5,1815
50,42313,tt0224267,tt0224267,6.1,272
51,17185,tt0055728,tt0055728,7.8,5737
52,488,tt0043265,tt0043265,7.9,65713
53,25501,tt0098994,tt0098994,6.6,2904
54,6075,tt0106519,tt0106519,7.9,183341
55,751,tt0057334,tt0057334,7.3,4472
56,278294,tt0014651,tt0014651,6.4,26
57,110540,tt0024819,tt0024819,6.4,319
58,10436,tt0106226,tt0106226,7.2,43293
59,36815,tt0058886,tt0058886,7.2,5795
60,32990,tt0343221,tt0343221,7.7,4003
61,84119,tt0054936,tt0054936,7.1,2131
62,11856,tt0099005,tt0099005,5.8,24848
63,10671,tt0065377,tt0065377,6.6,15646
64,7227,tt0075648,tt0075648,5.6,8506
65,43886,tt0026056,tt0026056,7.0,3334
66,86240,tt0055738,tt0055738,6.9,1497
67,536671,tt0013824,tt0013824,6.8,17
68,142159,tt0018618,tt0018618,7.2,876
69,91419,tt0045494,tt0045494,6.3,759
70,25430,tt0041113,tt0041113,7.5,11733
71,1717,tt0405676,tt0405676,6.2,22521
72,21355,tt0149624,tt0149624,5.8,12328
73,13523,tt1135985,tt1135985,6.5,79165
74,137113,tt1631867,tt1631867,7.9,536169
75,86815,tt1532530,tt1532530,6.4,479
76,2043,tt0164334,tt0164334,6.3,67721
77,11542,tt0080360,tt0080360,6.9,28791
78,26622,tt0146425,tt0146425,7.3,1834
79,131861,tt0060099,tt0060099,5.3,278
80,214939,tt0402763,tt0402763,5.1,152
81,1359,tt0144084,tt0144084,7.6,422445
82,2771,tt0305206,tt0305206,7.5,45216
83,25673,tt0043924,tt0043924,7.8,17775
84,42791,tt0057840,tt0057840,7.4,4335
85,117479,tt0087566,tt0087566,7.0,443
86,47715,tt0093267,tt0093267,7.0,2082
87,25901,tt0109101,tt0109101,6.1,195
88,11449,tt0078767,tt0078767,6.2,31934
89,10065,tt0384806,tt0384806,6.0,98040
90,184267,tt0013802,tt0013802,6.9,345
91,25799,tt0414713,tt0414713,7.4,777
92,93,tt0052561,tt0052561,8.0,53206
93,130411,tt0036599,tt0036599,7.1,280
94,4886,tt0037515,tt0037515,7.6,11145
95,82243,tt0247394,tt0247394,7.2,1077
96,4879,tt0061075,tt0061075,6.7,3674
97,297834,tt1014692,tt1014692,8.3,31
98,103761,tt0098454,tt0098454,4.7,711
99,2832,tt0309698,tt0309698,7.3,206695
100,30941,tt0066767,tt0066767,6.4,5993
101,10514,tt0066769,tt0066769,7.2,29889
102,11801,tt0783767,tt0783767,5.9,4908
103,13448,tt0808151,tt0808151,6.7,248761
104,106017,tt0052563,tt0052563,5.8,793
105,42470,tt0069946,tt0069946,6.1,2359
106,11848,tt0047834,tt0047834,7.2,13095
107,815,tt0204824,tt0204824,6.0,5326
108,43471,tt0038303,tt0038303,7.1,1977
109,16520,tt0049408,tt0049408,7.5,21841
110,47288,tt0160429,tt0160429,4.2,3428
111,1439,tt0166485,tt0166485,6.7,33887
112,415439,tt0003625,tt0003625,5.5,13
114,70881,tt0026071,tt0026071,7.1,4480
115,32066,tt0040098,tt0040098,6.7,2231
116,147009,tt0061359,tt0061359,7.1,762
117,220343,tt0088726,tt0088726,6.2,270
118,50512,tt0118623,tt0118623,6.4,5130
119,96724,tt1781769,tt1781769,6.6,83576
120,110739,tt0085169,tt0085169,6.6,374
121,148100,tt0009879,tt0009879,7.0,53
122,43901,tt0024831,tt0024831,7.1,936
123,115112,tt0032211,tt0032211,6.5,121
124,17663,tt0088727,tt0088727,8.4,17531
125,570811,tt0158466,tt0158466,6.9,3817
126,25290,tt0086902,tt0086902,5.7,843
127,44869,tt0037494,tt0037494,6.2,800
128,37658,tt0027300,tt0027300,6.5,1423
129,41955,tt0325005,tt0325005,5.6,1407
130,37187,tt0083567,tt0083567,5.8,262
131,1403,tt0060355,tt0060355,6.7,2500
132,218212,tt0040104,tt0040104,7.4,805
133,30832,tt0120027,tt0120027,4.6,251
134,18660,tt0072653,tt0072653,6.4,4280
135,22328,tt0078790,tt0078790,6.0,2034
136,4281,tt0094669,tt0094669,6.2,3183
137,140429,tt0043293,tt0043293,6.2,197
138,42451,tt0071155,tt0071155,6.9,1697
139,248001,tt0032290,tt0032290,7.2,693
140,3786,tt0077278,tt0077278,6.6,4299
141,192510,tt0031617,tt0031617,5.3,47
142,84298,tt0021622,tt0021622,6.2,1321
143,1093,tt0051378,tt0051378,8.0,17863
144,1967,tt0384814,tt0384814,5.8,8766
145,6961,tt0372532,tt0372532,6.1,44466
146,16958,tt0042208,tt0042208,7.9,21212
147,69526,tt0064045,tt0064045,6.8,1966
148,4512,tt0443680,tt0443680,7.5,155250
149,52726,tt0049259,tt0049259,7.5,965
150,174203,tt0003637,tt0003637,6.6,341
151,195394,tt0039163,tt0039163,7.0,49
152,124969,tt0886453,tt0886453,5.3,15
153,17938,tt0053250,tt0053250,4.3,2284
154,24461,tt0348505,tt0348505,6.1,4580
155,51515,tt0101373,tt0101373,6.8,2876
156,26398,tt0074157,tt0074157,5.2,3693
157,88751,tt0373051,tt0373051,5.8,102839
158,16929,tt1156454,tt1156454,4.2,1479
159,45361,tt1231575,tt1231575,2.9,700
160,179835,tt0002646,tt0002646,6.7,288
161,4347,tt0783233,tt0783233,7.8,225179
162,49126,tt0075704,tt0075704,5.8,4936
163,16347,tt0051383,tt0051383,8.0,9331
164,50479,tt1614950,tt1614950,5.9,4759
165,73462,tt0088758,tt0088758,5.5,993
166,80775,tt0048971,tt0048971,6.3,1085
167,22279,tt0112427,tt0112427,6.0,2384
168,26768,tt0062693,tt0062693,5.8,369
169,9381,tt0364970,tt0364970,5.6,89028
170,109197,tt0022651,tt0022651,7.1,460
171,109016,tt0033365,tt0033365,6.9,466
172,43017,tt0054653,tt0054653,6.8,799
173,125301,tt0387851,tt0387851,6.4,218
