,imdbid,genre
0,tt0090576,Drama
1,tt0090576,History
2,tt0090576,Romance
3,tt0276751,Comedy
4,tt0276751,Drama
5,tt0276751,Romance
6,tt0257360,Comedy
7,tt0257360,Drama
8,tt0118548,Action
9,tt0118548,Crime
10,tt0118548,Drama
11,tt0094606,Drama
12,tt0094606,Romance
13,tt0068168,Action
14,tt0068168,Crime
15,tt0068168,Drama
16,tt0267248,Drama
17,tt0267248,Music
18,tt0267248,Mystery
19,tt0070510,Comedy
20,tt0070510,Drama
21,tt0382821,Drama
22,tt0382821,Romance
23,tt0307923,Drama
24,tt0065374,Action
25,tt0065374,Adventure
26,tt0065374,Drama
27,tt0395119,Adventure
28,tt0395119,Drama
29,tt0395119,History
30,tt0046683,Action
31,tt0046683,Adventure
32,tt0046683,Romance
33,tt0011313,Comedy
34,tt0011313,Drama
35,tt0021981,Comedy
36,tt0031020,Adventure
37,tt0031020,Drama
38,tt0031020,Family
39,tt0046684,Drama
40,tt0053571,Adventure
41,tt0053571,Comedy
42,tt0053571,Drama
43,tt0071634,Adventure
44,tt0071634,Family
45,tt0071634,Musical
46,tt0073130,Adventure
47,tt0081982,Adventure
48,tt0088678,Adventure
49,tt0088678,Animation
50,tt0088678,Family
51,tt0099087,Adventure
52,tt0099087,Family
53,tt0106223,Adventure
54,tt0106223,Comedy
55,tt0106223,Drama
56,tt0112302,Adventure
57,tt0112302,Comedy
58,tt0112302,Drama
59,tt0032910,Animation
60,tt0032910,Comedy
61,tt0032910,Family
62,tt0050846,Family
63,tt0152066,Adventure
64,tt0152066,Animation
65,tt0152066,Family
66,tt0186449,Adventure
67,tt0186449,Animation
68,tt0186449,Family
69,tt0210907,Musical
70,tt0287351,Animation
71,tt0287351,Family
72,tt0287351,Fantasy
73,tt0073570,Adventure
74,tt0073570,Family
75,tt0073570,Fantasy
76,tt0207653,Family
77,tt0207653,Fantasy
78,tt0207653,Musical
79,tt0093743,Adventure
80,tt0093743,Animation
81,tt0093743,Family
82,tt0225009,Horror
83,tt0225009,Sci-Fi
84,tt0818692,Adventure
85,tt0818692,Animation
86,tt0818692,Drama
87,tt0117342,Fantasy
88,tt0117342,Horror
89,tt0115472,Adventure
90,tt0115472,Drama
91,tt0115472,Family
92,tt0200656,Action
93,tt0200656,Adventure
94,tt0200656,Comedy
95,tt0212720,Adventure
96,tt0212720,Drama
97,tt0212720,Sci-Fi
98,tt0311618,Adventure
99,tt0311618,Animation
100,tt0311618,Drama
101,tt0255477,Comedy
102,tt0255477,Family
103,tt0255477,Fantasy
104,tt0332318,Animation
105,tt0332318,Family
106,tt0332318,Fantasy
107,tt1130992,Adventure
108,tt1130992,Drama
109,tt1130992,Family
110,tt0031022,Crime
111,tt0031022,Mystery
112,tt0031022,Thriller
113,tt0008687,Adventure
114,tt0008687,Comedy
115,tt0008687,Drama
116,tt0021483,Adventure
117,tt0021483,Comedy
118,tt0021483,Drama
119,tt0029844,Adventure
120,tt0029844,Drama
121,tt0029844,Family
122,tt0036582,Adventure
123,tt0036582,Biography
124,tt0036582,Drama
125,tt0070814,Adventure
126,tt0070814,Family
127,tt0070814,Musical
128,tt0224267,Animation
129,tt0224267,Family
130,tt0224267,Musical
131,tt0055728,Drama
132,tt0055728,Thriller
133,tt0043265,Adventure
134,tt0043265,Drama
135,tt0043265,Romance
136,tt0098994,Crime
137,tt0098994,Drama
138,tt0098994,Mystery
139,tt0106519,Crime
140,tt0106519,Drama
141,tt0106519,Thriller
142,tt0057334,Comedy
143,tt0057334,Crime
144,tt0057334,Drama
145,tt0014651,Drama
146,tt0024819,Drama
147,tt0024819,Romance
148,tt0106226,Drama
149,tt0106226,Romance
150,tt0058886,Biography
151,tt0058886,Drama
152,tt0058886,History
153,tt0343221,Drama
154,tt0343221,War
155,tt0054936,Drama
156,tt0054936,Romance
157,tt0099005,Action
158,tt0099005,Comedy
159,tt0065377,Action
160,tt0065377,Drama
161,tt0065377,Thriller
162,tt0075648,Action
163,tt0075648,Drama
164,tt0075648,Thriller
165,tt0026056,Comedy
166,tt0026056,Drama
167,tt0026056,Romance
168,tt0055738,Drama
169,tt0013824,Adventure
170,tt0013824,Drama
171,tt0013824,Romance
172,tt0018618,Drama
173,tt0018618,Romance
174,tt0045494,Adventure
175,tt0045494,Drama
176,tt0045494,Romance
177,tt0041113,Drama
178,tt0041113,Film-Noir
179,tt0405676,Drama
180,tt0405676,Thriller
181,tt0149624,Drama
182,tt0149624,Romance
183,tt0149624,Western
184,tt1135985,Adventure
185,tt1135985,Comedy
186,tt1135985,Romance
187,tt1631867,Action
188,tt1631867,Sci-Fi
189,tt1532530,Drama
