,tconst,nconst,category,tmdbid,imdbid,primaryName
0,tt0000160,nm0095816,director,465498,tt0000160,Walter R. Booth
1,tt0000235,nm0617588,actor,104706,tt0000235,Georges Méliès
2,tt0000417,nm0617588,actor,775,tt0000417,Georges Méliès
3,tt0000417,nm0029244,actor,775,tt0000417,Victor André
4,tt0000417,nm1215996,actor,775,tt0000417,Brunnet
5,tt0000511,nm0903455,actor,470691,tt0000511,Henry Vorins
6,tt0000511,nm0349785,director,470691,tt0000511,Alice Guy
7,tt0000511,nm0419327,director,470691,tt0000511,Victorin-Hippolyte Jasset
8,tt0000582,nm0604384,actor,113260,tt0000582,Harry T. Morey
9,tt0000582,nm0366586,actor,113260,tt0000582,William S. Hart
10,tt0000582,nm0745457,actor,113260,tt0000582,Herman Rottger
11,tt0000582,nm0646058,director,113260,tt0000582,Sidney Olcott
12,tt0000582,nm0741382,director,113260,tt0000582,Frank Oakes Rose
13,tt0000679,nm0000875,actor,470664,tt0000679,L. Frank Baum
14,tt0000679,nm0122665,actor,470664,tt0000679,Frank Burns
15,tt0000679,nm0933446,actor,470664,tt0000679,George E. Wilson
16,tt0000679,nm2924919,actor,470664,tt0000679,Wallace Illington
17,tt0000679,nm0091767,director,470664,tt0000679,Francis Boggs
18,tt0000679,nm0877783,director,470664,tt0000679,Otis Turner
19,tt0000969,nm0710362,actor,254107,tt0000969,William V. Ranous
20,tt0000969,nm0007221,actor,254107,tt0000969,Maurice Costello
21,tt0000969,nm0531584,actor,254107,tt0000969,Marc McDermott
22,tt0000969,nm0085865,director,254107,tt0000969,J. Stuart Blackton
23,tt0000990,nm0401967,actor,259630,tt0000990,William Humphrey
24,tt0000990,nm0085865,director,259630,tt0000990,J. Stuart Blackton
25,tt0001008,nm0644728,actor,285955,tt0001008,Charles Ogle
26,tt0001008,nm0814825,actor,285955,tt0001008,William Sorelle
27,tt0001008,nm0878494,actor,285955,tt0001008,Mark Twain
28,tt0001008,nm0205986,director,285955,tt0001008,J. Searle Dawley
29,tt0001223,nm0644728,actor,2929,tt0001223,Charles Ogle
30,tt0001223,nm0680232,actor,2929,tt0001223,Augustus Phillips
31,tt0001223,nm0205986,director,2929,tt0001223,J. Searle Dawley
32,tt0001915,nm0007221,actor,233095,tt0001915,Maurice Costello
33,tt0001915,nm0448682,actor,233095,tt0001915,Charles Kent
34,tt0001915,nm0216311,actor,233095,tt0001915,Leo Delaney
35,tt0001915,nm0401967,director,233095,tt0001915,William Humphrey
36,tt0001915,nm0790360,actor,233095,tt0001915,William Shea
37,tt0001915,nm0426310,actor,233095,tt0001915,Tefft Johnson
38,tt0002113,nm0617588,actor,114146,tt0002113,Georges Méliès
39,tt0002143,nm0190516,actor,130523,tt0002143,James Cruze
40,tt0002143,nm0376529,director,130523,tt0002143,Lucius Henderson
41,tt0002646,nm0299761,actor,179835,tt0002646,Olaf Fønss
42,tt0002646,nm0491498,actor,179835,tt0002646,Carl Lauritzen
43,tt0002646,nm0088881,director,179835,tt0002646,August Blom
44,tt0002767,nm0642189,actor,282512,tt0002767,James O'Neill
45,tt0002767,nm0534259,actor,282512,tt0002767,Murdock MacQuarrie
46,tt0002767,nm0325448,director,282512,tt0002767,Joseph A. Golden
47,tt0002767,nm0692105,director,282512,tt0002767,Edwin S. Porter
48,tt0002813,nm0007215,actor,84512,tt0002813,King Baggot
49,tt0002813,nm0811519,actor,84512,tt0002813,Matt Snyder
50,tt0002813,nm0186232,actor,84512,tt0002813,Howard Crampton
51,tt0002813,nm0107543,director,84512,tt0002813,Herbert Brenon
52,tt0002813,nm0814825,actor,84512,tt0002813,William Sorelle
53,tt0003022,nm0007215,actor,404848,tt0003022,King Baggot
54,tt0003022,nm0107543,actor,404848,tt0003022,Herbert Brenon
55,tt0003278,nm0717468,actor,570452,tt0003278,Wallace Reid
56,tt0003278,nm0806565,actor,570452,tt0003278,Phillips Smalley
57,tt0003301,nm0352461,actor,277699,tt0003301,James K. Hackett
58,tt0003301,nm0868456,actor,277699,tt0003301,David Torrence
59,tt0003301,nm0167577,actor,277699,tt0003301,Frazer Coulter
60,tt0003301,nm0285684,director,277699,tt0003301,Hugh Ford
61,tt0003301,nm0692105,director,277699,tt0003301,Edwin S. Porter
62,tt0003625,nm0476936,actor,415439,tt0003625,Vladimir Kvanin
63,tt0003625,nm0789401,actor,415439,tt0003625,Vladimir Shaternikov
64,tt0003625,nm0848483,actor,415439,tt0003625,Mikhail Tamarov
65,tt0003625,nm0306723,director,415439,tt0003625,Vladimir Gardin
66,tt0003625,nm0643442,actor,415439,tt0003625,V. Obolensky
67,tt0003637,nm0784988,actor,174203,tt0003637,Gustavo Serena
68,tt0003637,nm0070959,actor,174203,tt0003637,Carlo Benetti
69,tt0003637,nm0016697,actor,174203,tt0003637,Luciano Albertini
70,tt0004099,nm0601212,actor,62935,tt0004099,Frank Moore
71,tt0004099,nm0183278,actor,62935,tt0004099,Pierre Couderc
72,tt0004099,nm0940927,actor,62935,tt0004099,Fred Woodward
73,tt0004099,nm0531759,director,62935,tt0004099,J. Farrell MacDonald
74,tt0004286,nm0940927,actor,56181,tt0004286,Fred Woodward
75,tt0004286,nm0531759,director,56181,tt0004286,J. Farrell MacDonald
76,tt0004457,nm0601212,actor,74827,tt0004457,Frank Moore
77,tt0004457,nm0751401,actor,74827,tt0004457,Raymond Russell
78,tt0004457,nm0531759,director,74827,tt0004457,J. Farrell MacDonald
79,tt0004630,nm0267912,actor,174104,tt0004630,William Farnum
80,tt0004630,nm0764346,actor,174104,tt0004630,Tom Santschi
81,tt0004630,nm0132324,director,174104,tt0004630,Colin Campbell
82,tt0004766,nm0342658,actor,97901,tt0004766,James Griswold
83,tt0004766,nm0267914,actor,97901,tt0004766,Dustin Farnum
84,tt0004766,nm0426668,actor,97901,tt0004766,Jack W. Johnston
85,tt0004766,nm0213049,actor,97901,tt0004766,Sydney Deane
86,tt0004766,nm0255420,actor,97901,tt0004766,William Elmer
87,tt0004766,nm0001124,director,97901,tt0004766,Cecil B. DeMille
88,tt0004897,nm0430968,actor,466561,tt0004897,Edward José
89,tt0004897,nm0861587,actor,466561,tt0004897,Richard Thornton
90,tt0004897,nm0250053,director,466561,tt0004897,J. Gordon Edwards
91,tt0004972,nm0910400,actor,618,tt0004972,Henry B. Walthall
92,tt0004972,nm0000428,director,618,tt0004972,D.W. Griffith
93,tt0005353,nm0908390,actor,449120,tt0005353,David Wall
94,tt0005353,nm0202592,actor,449120,tt0005353,Edgar L. Davenport
95,tt0005353,nm0578016,actor,449120,tt0005353,Fuller Mellish
96,tt0005353,nm0157484,actor,449120,tt0005353,Ogden Childe
97,tt0005353,nm0261455,actor,449120,tt0005353,Howard Estabrook
98,tt0005353,nm0205986,director,449120,tt0005353,J. Searle Dawley
99,tt0005353,nm0263632,actor,449120,tt0005353,Arthur Evers
100,tt0005353,nm0608971,actor,449120,tt0005353,George Moss
101,tt0005615,nm0394182,actor,342492,tt0005615,Jack Hopkins
102,tt0005615,nm0169866,actor,342492,tt0005615,William W. Cohill
103,tt0005615,nm0822071,actor,342492,tt0005615,Percy Standing
104,tt0005615,nm0207764,actor,342492,tt0005615,George De Carlton
105,tt0005615,nm0806961,director,342492,tt0005615,Joseph W. Smiley
106,tt0006210,nm0905629,actor,300400,tt0006210,William Wadsworth
107,tt0006210,nm0071518,actor,300400,tt0006210,Yale Benner
108,tt0006210,nm0102643,director,300400,tt0006210,Charles Brabin
109,tt0006210,nm0637463,director,300400,tt0006210,Eugene Nowland
110,tt0006333,nm0392709,actor,30266,tt0006333,Allen Holubar
111,tt0006333,nm0360132,actor,30266,tt0006333,Dan Hanlon
112,tt0006333,nm0072911,actor,30266,tt0006333,Curtis Benton
113,tt0006333,nm0665737,director,30266,tt0006333,Stuart Paton
114,tt0007453,nm0109794,actor,298901,tt0007453,J.F. Briscoe
115,tt0007453,nm0002503,actor,298901,tt0007453,Harry Carey
116,tt0007453,nm0077320,actor,298901,tt0007453,George Berrell
117,tt0007453,nm0725587,actor,298901,tt0007453,Joe Rickson
118,tt0007453,nm1250355,director,298901,tt0007453,Edward LeSaint
119,tt0007453,nm0398300,actor,298901,tt0007453,Jack Hoxie
120,tt0007453,nm0486967,actor,298901,tt0007453,Frank Lanning
121,tt0007839,nm0924834,actor,337176,tt0007839,Glen White
122,tt0007839,nm0492403,actor,337176,tt0007839,Walter Law
123,tt0007839,nm0382229,actor,337176,tt0007839,Herbert Heyes
124,tt0007839,nm0250053,director,337176,tt0007839,J. Gordon Edwards
125,tt0008305,nm0267912,actor,254243,tt0008305,William Farnum
126,tt0008305,nm0608971,actor,254243,tt0008305,George Moss
127,tt0008305,nm0456645,actor,254243,tt0008305,Hardee Kirkland
128,tt0008305,nm0515979,director,254243,tt0008305,Frank Lloyd
129,tt0008652,nm0267912,actor,174711,tt0008652,William Farnum
130,tt0008652,nm0165134,actor,174711,tt0008652,Charles Clary
131,tt0008652,nm0562197,actor,174711,tt0008652,Herschel Mayall
132,tt0008652,nm0515979,director,174711,tt0008652,Frank Lloyd
133,tt0008687,nm0681927,actor,74609,tt0008687,Jack Pickford
134,tt0008687,nm0352383,actor,74609,tt0008687,George Hackathorne
135,tt0008687,nm0853336,director,74609,tt0008687,William Desmond Taylor
136,tt0008687,nm0330217,actor,74609,tt0008687,Robert Gordon
137,tt0008687,nm0795025,actor,74609,tt0008687,Antrim Short
138,tt0009560,nm0511104,actor,310233,tt0009560,Elmo Lincoln
139,tt0009560,nm0420232,actor,310233,tt0009560,Thomas Jefferson
140,tt0009560,nm0524306,director,310233,tt0009560,Wilfred Lucas
141,tt0009682,nm0511104,actor,76951,tt0009682,Elmo Lincoln
142,tt0009682,nm0090204,actor,76951,tt0009682,True Boardman
143,tt0009682,nm0796657,director,76951,tt0009682,Scott Sidney
144,tt0009879,nm0446769,actor,148100,tt0009879,Paul Kelly
145,tt0009879,nm0123579,actor,148100,tt0009879,Frederick Burton
146,tt0009879,nm0853336,director,148100,tt0009879,William Desmond Taylor
147,tt0009879,nm0149693,actor,148100,tt0009879,F.T. Chailee
148,tt0009950,nm0292537,actor,297413,tt0009950,Robert Frazer
149,tt0009950,nm0832955,actor,297413,tt0009950,Leslie Stowe
150,tt0009950,nm0874124,actor,297413,tt0009950,Howard Truesdale
151,tt0009950,nm0767313,actor,297413,tt0009950,Jim Savage
152,tt0009950,nm0461295,director,297413,tt0009950,Harley Knoles
153,tt0010438,nm0002503,actor,540460,tt0010438,Harry Carey
154,tt0010438,nm0531759,actor,540460,tt0010438,J. Farrell MacDonald
155,tt0010438,nm0364866,actor,540460,tt0010438,Joe Harris
156,tt0010438,nm0000406,director,540460,tt0010438,John Ford
157,tt0010844,nm0598902,actor,185467,tt0010844,Bull Montana
158,tt0010844,nm0392442,actor,185467,tt0010844,Jack Holt
159,tt0010844,nm0000891,actor,185467,tt0010844,Wallace Beery
160,tt0010844,nm0214298,actor,185467,tt0010844,Ben Deeley
161,tt0010844,nm0869665,director,185467,tt0010844,Maurice Tourneur
162,tt0010844,nm0151606,actor,185467,tt0010844,Lon Chaney
163,tt0011130,nm0000858,actor,3016,tt0011130,John Barrymore
164,tt0011130,nm0403582,actor,3016,tt0011130,Brandon Hurst
165,tt0011130,nm0485274,actor,3016,tt0011130,Charles Lane
166,tt0011130,nm0731910,director,3016,tt0011130,John S. Robertson
167,tt0011131,nm0507752,actor,3017,tt0011131,Sheldon Lewis
168,tt0011131,nm0788252,actor,3017,tt0011131,Alex Shannon
169,tt0011131,nm0370746,director,3017,tt0011131,J. Charles Haydon
170,tt0011131,nm0287547,actor,3017,tt0011131,Harold Foshay
171,tt0011131,nm0042449,actor,3017,tt0011131,Leslie Austin
172,tt0011309,nm0420011,actor,325622,tt0011309,Allan Jeayes
173,tt0011309,nm0636385,actor,325622,tt0011309,Eille Norwood
174,tt0011309,nm0568254,actor,325622,tt0011309,Rex McDougall
175,tt0011309,nm0318149,actor,325622,tt0011309,Lewis Gilbert
176,tt0011309,nm0002061,director,325622,tt0011309,Maurice Elvey
177,tt0011309,nm0932346,actor,325622,tt0011309,Hubert Willis
178,tt0011313,nm0061044,actor,243632,tt0011313,Tom Bates
179,tt0011313,nm0765125,actor,243632,tt0011313,Lewis Sargent
180,tt0011313,nm0486967,actor,243632,tt0011313,Frank Lanning
181,tt0011313,nm0853336,director,243632,tt0011313,William Desmond Taylor
182,tt0011313,nm0401943,actor,243632,tt0011313,Orral Humphrey
183,tt0011348,nm0891998,actor,3015,tt0011348,Conrad Veidt
184,tt0011348,nm0830135,actor,3015,tt0011348,Magnus Stifter
185,tt0011348,nm0435227,actor,3015,tt0011348,Willy Kaiser-Heyl
186,tt0011348,nm0003638,director,3015,tt0011348,F.W. Murnau
187,tt0011387,nm0000891,actor,71065,tt0011387,Wallace Beery
188,tt0011387,nm0741182,actor,71065,tt0011387,Alan Roscoe
189,tt0011387,nm0113284,director,71065,tt0011387,Clarence Brown
190,tt0011387,nm0869665,director,71065,tt0011387,Maurice Tourneur
191,tt0011624,nm0689443,actor,455537,tt0011624,Gene Pollar
192,tt0011624,nm0181251,actor,455537,tt0011624,Armand Cortes
193,tt0011624,nm0720886,director,455537,tt0011624,Harry Revier
194,tt0011624,nm0581200,director,455537,tt0011624,George M. Merrick
195,tt0011672,nm0403151,actor,309031,tt0011672,Fred Huntley
196,tt0011672,nm0001935,actor,309031,tt0011672,Noah Beery
197,tt0011672,nm0330280,actor,309031,tt0011672,James Gordon
198,tt0011672,nm0369058,actor,309031,tt0011672,Raymond Hatton
199,tt0011672,nm0840042,actor,309031,tt0011672,A. Edward Sutherland
200,tt0011672,nm0577654,director,309031,tt0011672,George Melford
201,tt0011672,nm0519227,actor,309031,tt0011672,Walter Long
202,tt0011908,nm0511104,actor,225503,tt0011908,Elmo Lincoln
203,tt0011908,nm0671501,actor,225503,tt0011908,Scott Pembroke
204,tt0011908,nm0926386,actor,225503,tt0011908,Frank Whitson
205,tt0011908,nm0384616,director,225503,tt0011908,Robert F. Hill
206,tt0011908,nm0796657,director,225503,tt0011908,Scott Sidney
207,tt0011973,nm0607174,actor,580237,tt0011973,James Morrison
208,tt0011973,nm0916110,actor,580237,tt0011973,George Webb
209,tt0011973,nm0532944,actor,580237,tt0011973,Bobbie Mack
210,tt0011973,nm0807871,director,580237,tt0011973,David Smith
211,tt0012027,nm0884388,actor,139176,tt0012027,Rudolph Valentino
212,tt0012027,nm0156124,actor,139176,tt0012027,Rex Cherryman
213,tt0012027,nm0398446,actor,139176,tt0012027,Arthur Hoyt
214,tt0012027,nm0806605,director,139176,tt0012027,Ray C. Smallwood
215,tt0012067,nm0616729,actor,308372,tt0012067,Harry Myers
216,tt0012067,nm0165134,actor,308372,tt0012067,Charles Clary
217,tt0012067,nm0283444,director,308372,tt0012067,Emmett J. Flynn
