,tmdb_id,Title,Release_Date
0,6026,The Alphabet Murders,1965-08-01
1,59145,The Assault,2010-11-12
2,295237,The Assault,2014-09-20
3,2753,The Assault,1986-02-06
4,149552,The Assault,1996-01-01
5,245,About a Boy,2002-04-26
6,2755,About Schmidt,2002-05-22
7,66,Absolute Power,1997-02-14
8,31052,The Accidental Tourist,1988-12-23
9,23847,Across 110th Street,1972-12-19
10,18516,Adam Resurrected,2008-08-08
11,15992,Abandon,2002-10-14
12,557857,Abandon,2010-01-01
13,11293,Paper Moon,1973-05-09
14,212164,Paper Moon,2013-01-17
15,564139,Paper Moon,1949-12-01
16,40974,Green Tea,2003-08-18
17,18456,Adolphe,2002-10-30
18,44869,Adventure,1945-12-28
19,452551,The Adventurers,2017-08-11
20,106326,The Adventurers,1970-03-25
21,268763,The Adventurers,2014-10-02
22,45435,The Adventurers,1995-02-08
23,152869,The Adventurers,2012-10-18
24,13495,Alatriste,2006-09-01
25,108668,The Adventures of Hajji Baba,1954-10-01
26,150414,Huckleberry Finn,1975-01-01
27,75141,Huckleberry Finn,1974-05-24
28,297722,Huckleberry Finn,1931-08-07
29,243632,Huckleberry Finn,1920-02-29
30,43041,The Adventures of Huckleberry Finn,1960-08-03
31,151474,The Adventures of Huckleberry Finn,2012-12-20
32,59403,The Adventures of Huckleberry Finn,1939-02-10
33,131316,The Adventures of Huckleberry Finn,1955-09-01
34,462950,The Adventures of Huckleberry Finn,1991-08-16
35,127732,The Adventures of Huckleberry Finn,1981-07-09
36,27923,Hopelessly Lost,1973-06-06
37,15479,Adventures of Huckleberry Finn,1986-02-10
38,19947,The Adventures of Mark Twain,1985-03-01
39,120747,The Adventures of Mark Twain,1944-05-03
40,102936,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990-10-21
41,34723,The Adventures of Huck Finn,1993-04-02
42,45325,Tom and Huck,1995-12-22
43,126897,Tom and Huck,2012-08-02
44,18975,The Adventures of Pinocchio,1996-07-26
45,58451,The Adventures of Pinocchio,1972-12-21
46,489447,The Adventures of Pinocchio,1947-04-17
47,266906,The Adventures of Pinocchio,1988-01-03
