,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdbid,year
0,The A.B.C. Murders,1936,Agatha Christie,The Alphabet Murders,1966,The Alphabet Murders 1966,,
1,The A.B.C. Murders,1936,Agatha Christie,The A.B.C. Murders,1992,The A.B.C. Murders 1992,,
2,À ton image,1998,Louise L. Lambrichs,À ton image,2004,À ton image 2004,,
3,De Aanslag,1982,Harry Mulisch,The Assault,1986,The Assault 1986,2753,1986
4,About a Boy,1998,Nick Hornby,About a Boy,2002,About a Boy 2002,245,2002
5,About Schmidt,1996,Louis Begley,About Schmidt,2002,About Schmidt 2002,2755,2002
6,Absolute Power,1996,David Baldacci,Absolute Power,1997,Absolute Power 1997,66,1997
7,The Accidental Tourist,1985,Anne Tyler,The Accidental Tourist,1988,The Accidental Tourist 1988,31052,1988
8,Across 110th,1970,,Across 110th Street,1972,Across 110th Street 1972,23847,1972
9,Adam Resurrected,1971,Yoram Kaniuk,Adam Resurrected,2009,Adam Resurrected 2009,,
10,Adams Fall,2000,,Abandon,2002,Abandon 2002,15992,2002
11,Addie Pray,1971,Joe David Brown,Paper Moon,1973,Paper Moon 1973,11293,1973
12,Adiliya by the River,1999,,Green Tea,2003,Green Tea 2003,40974,2003
13,Adolphe,1816,Benjamin Constant,Adolphe,2002,Adolphe 2002,18456,2002
14,Adventure,1911,Jack London,Adventure,1925,Adventure 1925,,
15,The Adventurers,1966,Harold Robbins,The Adventurers,1970,The Adventurers 1970,106326,1970
16,The Adventures of Captain Alatriste,1996,Arturo Pérez-Reverte,Alatriste,2006,Alatriste 2006,13495,2006
17,The Adventures of Hajji Baba of Ispahan,1824,James Justinian Morier,The Adventures of Hajji Baba,1954,The Adventures of Hajji Baba 1954,108668,1954
18,Adventures of Huckleberry Finn,1884,Mark Twain,Huck and Tom,1918,Huck and Tom 1918,,
19,The Adventures of Tom Sawyer,1876,Mark Twain,Huck and Tom,1918,Huck and Tom 1918,,
20,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1920,Huckleberry Finn 1920,243632,1920
21,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1931,Huckleberry Finn 1931,297722,1931
22,The Adventures of Tom Sawyer,1876,Mark Twain,Huckleberry Finn,1931,Huckleberry Finn 1931,297722,1931
23,Adventures of Huckleberry Finn,1884,Mark Twain,Huck Finn,1937,Huck Finn 1937,,
24,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1939,The Adventures of Huckleberry Finn 1939,59403,1939
25,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1955,The Adventures of Huckleberry Finn 1955,131316,1955
26,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1960,The Adventures of Huckleberry Finn 1960,43041,1960
27,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1974,Huckleberry Finn 1974,75141,1974
28,The Adventures of Tom Sawyer,1876,Mark Twain,Huckleberry Finn,1974,Huckleberry Finn 1974,75141,1974
29,Adventures of Huckleberry Finn,1884,Mark Twain,Hopelessly Lost,1972,Hopelessly Lost 1972,,
30,Adventures of Huckleberry Finn,1884,Mark Twain,Huckleberry Finn,1975,Huckleberry Finn 1975,150414,1975
31,The Adventures of Tom Sawyer,1876,Mark Twain,Huckleberry Finn,1975,Huckleberry Finn 1975,150414,1975
32,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huckleberry Finn,1981,The Adventures of Huckleberry Finn 1981,127732,1981
33,Adventures of Huckleberry Finn,1884,Mark Twain,Adventures of Huckleberry Finn,1985,Adventures of Huckleberry Finn 1985,,
34,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Mark Twain,1985,The Adventures of Mark Twain 1985,19947,1985
35,The Adventures of Tom Sawyer,1876,Mark Twain,The Adventures of Mark Twain,1985,The Adventures of Mark Twain 1985,19947,1985
36,Adventures of Huckleberry Finn,1884,Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn 1990,102936,1990
37,The Adventures of Tom Sawyer,1876,Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn 1990,102936,1990
38,Adventures of Huckleberry Finn,1884,Mark Twain,The Adventures of Huck Finn,1993,The Adventures of Huck Finn 1993,34723,1993
39,Adventures of Huckleberry Finn,1884,Mark Twain,Tom and Huck,1995,Tom and Huck 1995,45325,1995
40,The Adventures of Tom Sawyer,1876,Mark Twain,Tom and Huck,1995,Tom and Huck 1995,45325,1995
41,Adventures of Huckleberry Finn,1884,Mark Twain,Tomato Sawyer and Huckleberry Larry's Big River Rescue,2008,Tomato Sawyer and Huckleberry Larry's Big River Rescue 2008,,
