,tmdbid,imdbid
0,2753,tt0090576
1,245,tt0276751
2,2755,tt0257360
3,66,tt0118548
4,31052,tt0094606
5,23847,tt0068168
6,15992,tt0267248
7,11293,tt0070510
8,40974,tt0382821
9,18456,tt0307923
10,106326,tt0065374
11,13495,tt0395119
12,108668,tt0046683
13,243632,tt0011313
14,297722,tt0021981
15,59403,tt0031020
16,131316,tt0046684
17,43041,tt0053571
18,75141,tt0071634
19,150414,tt0073130
20,127732,tt0081982
21,19947,tt0088678
22,102936,tt0099087
23,34723,tt0106223
24,45325,tt0112302
25,10895,tt0032910
26,489452,tt0050846
27,72211,tt0152066
28,213104,tt0186449
29,489453,tt0210907
30,250593,tt0287351
31,20899,tt0073570
32,131098,tt0207653
33,39045,tt0093743
34,50162,tt0225009
35,134434,tt0818692
36,30926,tt0117342
37,18975,tt0115472
38,30809,tt0200656
39,644,tt0212720
40,30491,tt0311618
41,10599,tt0255477
42,23056,tt0332318
43,33821,tt1130992
44,17481,tt0031022
45,74609,tt0008687
46,166307,tt0021483
47,30977,tt0029844
48,120747,tt0036582
49,42473,tt0070814
50,42313,tt0224267
51,17185,tt0055728
52,488,tt0043265
53,25501,tt0098994
54,6075,tt0106519
55,751,tt0057334
56,278294,tt0014651
57,110540,tt0024819
58,10436,tt0106226
59,36815,tt0058886
60,32990,tt0343221
61,84119,tt0054936
62,11856,tt0099005
63,10671,tt0065377
64,7227,tt0075648
65,43886,tt0026056
66,86240,tt0055738
67,536671,tt0013824
68,142159,tt0018618
69,91419,tt0045494
70,25430,tt0041113
71,1717,tt0405676
72,21355,tt0149624
73,13523,tt1135985
74,137113,tt1631867
75,86815,tt1532530
76,2043,tt0164334
77,11542,tt0080360
78,26622,tt0146425
79,131861,tt0060099
80,214939,tt0402763
81,1359,tt0144084
82,2771,tt0305206
83,25673,tt0043924
84,42791,tt0057840
85,117479,tt0087566
86,47715,tt0093267
87,25901,tt0109101
88,11449,tt0078767
89,10065,tt0384806
90,184267,tt0013802
91,25799,tt0414713
92,93,tt0052561
93,130411,tt0036599
94,4886,tt0037515
95,82243,tt0247394
