Topic,WordOrder,Word,Prob
0,1,character,0.0212754774838686
0,2,story,0.013175548054277897
0,3,plot,0.008417359553277493
0,4,scene,0.008100343868136406
0,5,much,0.008009894751012325
0,6,well,0.00681312195956707
0,7,time,0.005536285229027271
0,8,however,0.005197242833673954
0,9,good,0.0051204739138484
0,10,make,0.0050858380272984505
0,11,work,0.005049917381256819
0,12,film,0.004871095530688763
0,13,quite,0.004603034351021051
0,14,rather,0.004481778014451265
0,15,feel,0.0044712587259709835
0,16,many,0.004313410725444555
0,17,performance,0.004247520584613085
0,18,even,0.004205756820738316
0,19,would,0.0041398159228265285
0,20,audience,0.003936232067644596
1,1,comedy,0.01855846680700779
1,2,funny,0.015274913050234318
1,3,character,0.007745652459561825
1,4,love,0.007597300689667463
1,5,like,0.007380067836493254
1,6,laugh,0.006975152529776096
1,7,woman,0.005970569793134928
1,8,romantic,0.005515629891306162
1,9,get,0.005309030879288912
1,10,good,0.005014255177229643
1,11,jack,0.004855521954596043
1,12,make,0.004496395587921143
1,13,life,0.004329856485128403
1,14,hilarious,0.004298917483538389
1,15,humor,0.004267234820872545
1,16,guy,0.004235855769366026
1,17,role,0.004101541358977556
1,18,grant,0.004029948730021715
1,19,much,0.003950438927859068
1,20,play,0.003945968113839626
2,1,like,0.02279418334364891
2,2,really,0.022411808371543884
2,3,good,0.016445279121398926
2,4,think,0.01556742750108242
2,5,dont,0.0138062983751297
2,6,people,0.013481303118169308
2,7,thing,0.012784908525645733
2,8,know,0.011379924602806568
2,9,get,0.011166205629706383
2,10,see,0.010338502936065197
2,11,make,0.00926346704363823
2,12,character,0.008796405978500843
2,13,way,0.008650275878608227
2,14,would,0.008478879928588867
2,15,much,0.008006362244486809
2,16,well,0.008000771515071392
2,17,say,0.007863705046474934
2,18,didnt,0.007481088396161795
2,19,end,0.007459890563040972
2,20,story,0.0073544783517718315
3,1,godfather,0.010528436861932278
3,2,crime,0.010431778617203236
3,3,michael,0.009610844776034355
3,4,family,0.008693973533809185
3,5,gangster,0.007195110432803631
3,6,performance,0.006512049585580826
3,7,cop,0.00622012373059988
3,8,pacino,0.005827865097671747
3,9,best,0.005789132323116064
3,10,character,0.005555212497711182
3,11,murder,0.005543558858335018
3,12,penn,0.005010682623833418
3,13,role,0.005000639241188765
3,14,brando,0.004783823154866695
